Number,Korean,English,Exp_En,Exp_Kr
1,저는 던더 미플린에서 12년 간 근무했습니다. 최근 4년은 지점장으로요.,"I've been at Dunder Mifflin for 12 years, the last four as Regional Manager.",Regional Manager,"지점장, 지역 관리자"
2,"제 업무는 복사용지의 종류와 수량에 대해 고객들과 전화하는 겁니다. 저희가 고객들에게 공급할 수 있는지, 고객들이 저희에게 지불할 수 있는지 같은 것들이요.","My job is to speak to clients on the phone about... uh, quantities and type of copier paper. You know, whether we can supply it to them. Whether they can pay for it.",run,"달리다, 운영하다, 출마, 열리다, 계속하다"
3,"회사는 의사 소통의 효율성으로 운영되는데 말이에요, 그렇죠?","A company runs on efficiency of communication, right?",board,"이사회, 위원회"
4,지난 회의 이후 엘런과 이사회는 스크랜턴 지점과 스탬포드 지점을 정당화 할 수 없다고 결정했어요.,"Since the last meeting, Ellen and the board have decided we can't justify a Scranton branch and a Stamford branch.",branch,지점
5,"저는 스탬포드 지점의 조쉬와 이야기 했습니다. 그에게 당신에게 얘기한 것과 똑같이 말했고, 당신의 지점이 다른 지점을 통합 할 수 있다고 저를 확신시키는 것은 그 사람이나 당신에게 달려 있어요.",I've spoken to Josh in Stamford. I've told him the same as you and it's up to either him or you to convince me that your branch can incorporate the other.,convince,"설득하다, 확신시키다, 납득시키다"
6,그럼 당분간은 이 일을 비밀로 할 수 있을까요? 저는 불필요하게 사람들을 걱정시키고 싶지 않아요.,So do you think we could keep a lid on this for now? I don't want to worry people unnecessarily.,incorporate,"포함하다, 결합하다, 통합하다, 법인이 되다"
7,현행 체제하에서는 이 얘기가 이 사무실을 떠나지 않을 겁니다.,"Under this regime, it will not leave this office.",keep a lid on,"~을 억제하다, 단속하다, 감춰두다"
8,"그럼요, 데이비스 씨. 제가 잠시 뒤에 전화 드리겠습니다. 네, 방금 무슨 일이 생겨서요. 2분이면 됩니다. 정말 감사합니다.","Sure. Mr. Davis, let me call you right back. Yeah, something just came up. Two minutes. Thank you very much.",regime,"통치 방식, 관리 체제, 정권, 사회 제도, 체제"
9,급여가 마음에 안 들면 인사과에 따지는 게 좋을 거야.,"If you're unhappy with your compensation, maybe you should take it up with HR.",come up,"나타나다, 오다, 마련하다"
10,"제 생각에, 저는 여기서 롤 모델이에요. 사람들의 존경을 한 몸에 받는 것 같아요.",I think I'm a role model here. I think I garner people's respect.,compensation,"보상, 보수, 급여"
11,"던더 미플린의 모든 직원 여러분, 주목해주시기 바랍니다. 회의실에서 회의가 있습니다. 가능하면 빨리요.","Attention all Dunder Mifflin employees, please. We have a meeting in the conference room, ASAP.",take up with sb.,"~와 의논하다, ~에게 따지다"
12,사측에서 제가 최후 통첩을 하는 것이 적절하다고 생각했습니다. 그리고 젠은 스탬포드 지점 또는 이 지점의 축소를 고려하고있습니다.,Corporate has deemed it appropriate to enforce an ultimatum upon me. And Jan is thinking about downsizing either the Stamford branch or this branch.,garner,~을 모으다
13,"글쎄. 팸, 지속적인 회의 기밀 유지 계약에 충실해야 할거야.","Well, Pam maybe you should stick to the ongoing confidentiality agreement of meetings.",deem,"간주하다, 생각하다"
14,로이는 제 약혼자예요. 저희는 3년 정도 약혼을 했어요. 9월에 결혼하기로 했는데 봄에 결혼할 것 같아요.,Roy's my fiance. We've been engaged about three years. We were supposed to get married in September but I think we're gonna get married in the spring.,ultimatum,"최후통첩, 궁극점"
15,그거 알아요? 당신도 같이 가야해요. 왜냐하면 우리 모두가 나가니까 사무실 밖에서 사람들이 어떤 사람인지 볼 수 있는 좋은 기회가 될 거예요. 재미있을 것 같은데요.,You know what? You should come with us. Because you know we're all going out and it could be a good chance for you to see what people are like outside the office. I think it could be fun.,stick to,"~에 달라붙다, 고수하다, 충실하다"
16,"제가 여기서 만든 분위기는 제가 첫 번째로는 친구이고, 두 번째는 보스 ... 그리고 아마 세 번째는 연예인 인 것 같아요.","I guess the atmosphere that I've created here is that I'm a friend first, and a boss second... and probably an entertainer third.",engage,"관여하다, 약혼하다, 종사하다, 협상하다"
17,하지만 가장 좋은 점은 퇴직금을 주지 않아도 된다는 겁니다. 왜냐하면 그건 엄청난 위법행위이고...,But the best thing about it is that we're not going to have to give you any severance pay. Because that is gross misconduct and...,go out,"나가다, 데이트하다, 외출하다, 죽다"
18,제가 여기서 가장 자랑스러웠던 적은 17%의 이익을 올렸을 때나 단 한 명의 직원도 잃지 않고 비용을 절감했을 때가 아닙니다.,My proudest moment here was not when I increased profits by 17% or when I cut expenses without losing a single employee.,be supposed to,"~하기로 되어 있다, ~할 의무가 있다"
,,,atmosphere,"분위기, 대기"
,,,severance pay,"퇴직금, 퇴직수당"
,,,gross,"심한, 역겨운, 총체적인"
,,,misconduct,"비행, 위법 행위, 직권 남용, ~의 관리를 잘못하다"
