Order,Name,English,Korean
1,Alex Park,"Good morning, everyone. Thank you for joining our biweekly conference call. Let's start with a quick roll call to ensure everyone's here. I'm Alex Park from LG Chem. Jenny, are you with us?","모두 안녕하십니까. 격주 컨퍼런스 콜에 참여해 주셔서 감사합니다. 모두가 여기에 있는지 확인하기 위해 빠른 점호부터 시작하겠습니다. 저는 LG화학 박알렉스입니다. 제니, 우리랑 같이 있어?"
2,Jenny Lee,"Good morning, Alex. Jenny Lee from LG Chem, present and ready for the meeting. Dr. Smith, are you on the line?","좋은 아침이에요, 알렉스. LG화학 이제니가 참석해 회의 준비를 하고 있다. 스미스 박사님, 통화 중이신가요?"
3,Dr. Robert Smith,"Yes, Jenny. Good morning, everyone. This is Dr. Robert Smith from TFS. Karen and Mark, could you confirm you're with us?","응, 제니. 모두 안녕하십니까. 저는 TFS의 로버트 스미스 박사입니다. 캐런과 마크, 우리와 함께 있는지 확인해 주시겠어요?"
4,Karen Davis,"Good morning, Dr. Smith. Karen Davis from TFS, here and ready.","안녕하세요, 스미스 박사님. TFS의 Karen Davis가 준비되었습니다."
5,Mark Johnson,"Hello, everyone. Mark Johnson from TFS, ready to discuss our ongoing issues.","여러분, 안녕하세요. TFS의 Mark Johnson이 현재 진행 중인 문제에 대해 논의할 준비가 되었습니다."
6,Alex Park,"Great. Thanks, everyone, for joining. Dr. Smith, could you start by updating us on the manufacturing status and any issues you've encountered?","좋습니다. 참여해 주셔서 감사합니다. Smith 박사님, 제조 상태와 발생한 문제에 대해 업데이트해 주시겠습니까?"
7,Dr. Robert Smith,"Absolutely, Alex. We've been experiencing some issues with the packaging process for the TGX film-coated tablets. Mark, could you elaborate on what exactly is happening and how we're addressing it?","물론이죠, 알렉스. TGX 필름 코팅 정제의 포장 과정에서 몇 가지 문제가 발생했습니다. 마크 씨, 정확히 무슨 일이 일어나고 있는지, 그리고 우리가 이를 어떻게 해결하고 있는지 자세히 설명해 주시겠어요?"
8,Mark Johnson,"Sure, Dr. Smith. During our last production run, we noticed a higher-than-expected rate of breakage in the packaging of our 300 mg tablets. This caused delays in the production line, and we've had to pause manufacturing to investigate. We've identified a potential issue with the packaging machinery and are currently working on recalibrating it.","물론이죠, 스미스 박사님. 마지막 생산 과정에서 300mg 정제의 포장이 예상보다 높은 파손률을 발견했습니다. 이로 인해 생산 라인이 지연되어 조사를 위해 제조를 일시 중지해야 했습니다. 포장 기계에 잠재적인 문제가 있음을 확인했으며 현재 이를 재보정하기 위해 노력하고 있습니다."
9,Jenny Lee,"That sounds like a significant problem, Mark. This is Jenny Lee from LG Chem. Could you explain what steps you're taking to minimize the impact on the production schedule?","그건 심각한 문제인 것 같은데요, 마크. LG화학 이제니입니다. 생산 일정에 미치는 영향을 최소화하기 위해 어떤 조치를 취하고 있는지 설명해 주시겠습니까?"
10,Mark Johnson,"We've engaged our engineering team to recalibrate the packaging machinery, Jenny. We're also re-evaluating the packaging material itself to ensure that it's suitable for our production requirements. Additionally, we're implementing more frequent inspections to detect any issues early in the process.","우리는 엔지니어링 팀과 협력하여 포장 기계를 재보정했습니다, Jenny. 또한 포장재 자체를 재평가하여 생산 요구 사항에 적합한지 확인하고 있습니다. 또한 프로세스 초기에 문제를 발견하기 위해 더 자주 검사를 실시하고 있습니다."
11,Karen Davis,"Karen Davis here. To ensure product quality and regulatory compliance, we're also reviewing our quality assurance processes. We're conducting thorough inspections of all packaged products to ensure they meet our quality standards. If any discrepancies are found, we're quarantining those batches for further investigation.",카렌 데이비스입니다. 제품 품질과 규정 준수를 보장하기 위해 품질 보증 프로세스도 검토하고 있습니다. 우리는 품질 기준을 충족하는지 확인하기 위해 모든 포장된 제품에 대해 철저한 검사를 실시하고 있습니다. 불일치가 발견되면 추가 조사를 위해 해당 배치를 격리합니다.
12,Alex Park,"Thanks, Karen. This is Alex Park from LG Chem. Given these issues, Dr. Smith, do you expect any significant delays in the Phase III clinical trial, or will this only affect the current production batch?","고마워요, 카렌. LG화학 박알렉스입니다. 이러한 문제를 고려할 때, Smith 박사님, 제3상 임상 시험이 크게 지연될 것으로 예상하시나요, 아니면 현재 생산 배치에만 영향을 미칠까요?"
13,Dr. Robert Smith,"It's hard to say at this point, Alex. We're doing everything we can to minimize delays, but given the recalibration and additional inspections, there's a chance that production could be delayed by a few days to a week. We are keeping close tabs on the situation and will update you as we know more.","지금 시점에서 말하기는 어렵습니다, 알렉스. 지연을 최소화하기 위해 최선을 다하고 있지만, 재보정 및 추가 검사로 인해 며칠에서 일주일 정도 생산이 지연될 가능성이 있습니다. 우리는 상황을 면밀히 관찰하고 있으며, 더 자세한 내용을 알게 되면 업데이트해 드리겠습니다."
14,Jenny Lee,"Understood, Dr. Smith. This is Jenny Lee. Do we need to inform regulatory authorities about these delays? And what about the clinical trial sites? Should we update them as well?","알겠습니다, 스미스 박사님. 제니 리입니다. 이러한 지연에 대해 규제 당국에 알려야 합니까? 그러면 임상시험 장소는 어떻습니까? 업데이트도 해야 하나요?"
15,Karen Davis,"It's a good question, Jenny. At this point, we're still within acceptable timelines, but if the delays extend beyond a week, we may need to notify the relevant regulatory bodies. As for the trial sites, it's better to keep them informed about potential delays so they can manage their scheduling accordingly.","좋은 질문이에요, 제니. 현재로서는 허용 가능한 일정 내에 있지만, 지연이 1주일 이상 지속되면 관련 규제 기관에 통보해야 할 수도 있습니다. 평가판 사이트의 경우 잠재적인 지연에 대한 정보를 지속적으로 제공하여 그에 따라 일정을 관리할 수 있도록 하는 것이 좋습니다."
16,Alex Park,"That makes sense. So, here's what I think we should do as our next steps. First, let's monitor the recalibration process closely and keep communication lines open to ensure we don't encounter further delays. Second, let's prepare to inform the regulatory authorities if the delays extend beyond a week. Lastly, let's also keep the clinical trial sites updated so they can plan accordingly. Does that sound like a good plan?","말이 되네요. 그래서 다음 단계로 우리가 해야 할 일은 다음과 같습니다. 먼저, 재보정 프로세스를 면밀히 모니터링하고 더 이상의 지연이 발생하지 않도록 통신 회선을 열어 두겠습니다. 둘째, 지연이 일주일 이상 연장될 경우 규제 당국에 알릴 준비를 합시다. 마지막으로 임상 시험 사이트를 최신 상태로 유지하여 그에 따라 계획을 세울 수 있도록 합시다. 좋은 계획인 것 같나요?"
17,Dr. Robert Smith,"I agree, Alex. Those are solid action points. We'll take care of the recalibration and keep you updated on the timeline. Karen, could you ensure the quality checks are thorough and report any findings immediately?","나도 동의해, 알렉스. 그것은 확실한 행동 포인트입니다. 재보정을 처리하고 타임라인에 대한 업데이트를 계속 알려드리겠습니다. Karen, 철저한 품질 검사를 실시하고 결과를 즉시 보고해 주실 수 있나요?"
18,Karen Davis,"Will do, Dr. Smith. I'll also make sure to communicate with the regulatory team to keep them informed if necessary.","그렇게 하겠습니다, 스미스 박사님. 또한 필요한 경우 규제팀과 연락하여 계속해서 정보를 제공하겠습니다."
19,Jenny Lee,Excellent. I'll keep our internal stakeholders updated and prepare to communicate with the regulatory authorities if needed. Let's also keep track of any developments and discuss them in our next call in two weeks.,훌륭합니다. 내부 이해관계자들에게 계속 최신 정보를 제공하고 필요한 경우 규제 당국과 소통할 준비를 하겠습니다. 또한 진행 상황을 추적하고 2주 후 다음 통화에서 이에 대해 논의하겠습니다.
20,Mark Johnson,"Sounds good, Jenny. I’ll make sure our engineering team follows through with the recalibration and packaging adjustments.","좋은 것 같아요, 제니. 우리 엔지니어링 팀이 재보정 및 포장 조정을 제대로 수행하도록 하겠습니다."
21,Alex Park,"Great. Thank you, everyone. Let's schedule our next call in two weeks. If any urgent issues arise before then, don't hesitate to reach out. Otherwise, we'll catch up in the next meeting. Thanks for your time.",좋습니다. 감사합니다. 2주 후에 다음 통화 일정을 잡겠습니다. 그 전에 긴급한 문제가 발생하면 주저하지 말고 연락하세요. 그렇지 않으면 다음 회의에서 다시 연락드리겠습니다. 시간 내 줘서 고마워.
22,Dr. Robert Smith,"Thank you, Alex and Jenny. We'll be in touch if we have any updates. Take care, everyone.","감사합니다. 알렉스와 제니 씨. 저희가 연락드릴 일이 있으면 연락드리겠습니다. 여러분, 잘 지내세요."
23,Karen Davis,"Thanks, everyone. Talk soon.","감사합니다, 여러분. 곧 얘기해요."
