Order,Name,Company,English,Korean
1,Sarah Lee,LG Chem,"Good morning, everyone. Thank you for joining our biweekly conference call. I'm Sarah Lee, the project manager from LG Chem, and with me is John Kim, our Quality Assurance Specialist.","모두 안녕하십니까. 격주 컨퍼런스 콜에 참여해 주셔서 감사합니다. 저는 LG 화학의 프로젝트 매니저 Sarah Lee이고, 저와 함께 품질 보증 전문가인 John Kim이 있습니다."
2,Alice Brown,TFS,"Good morning, Sarah and John. I'm Alice Brown, the production manager at TFS. Joining me today are David Smith, our Quality Control Manager, and Emma Johnson from Regulatory Affairs.","좋은 아침이에요, 사라와 존. 저는 TFS의 생산 관리자인 Alice Brown입니다. 오늘 나와 함께하는 사람은 품질 관리 관리자인 David Smith와 Regulatory Affairs의 Emma Johnson입니다."
3,Sarah Lee,LG Chem,"Great to see everyone. Let's start with the recent issues during the placebo manufacturing process. John, could you give an overview of the situation?","모두 만나서 반가워요. 최근 플라시보 제조 과정에서 발생한 이슈부터 살펴보겠습니다. 존, 상황에 대한 개요를 알려주실 수 있나요?"
4,John Kim,LG Chem,"Sure, Sarah. Recently, we found insects in one batch of placebos, and previously, a hairnet was found in another batch. This is very concerning, especially since we're in the midst of a Phase III clinical trial. Alice, could you provide more details on what happened and what you found from the CCTV monitoring?","물론이죠, 사라. 최근에 우리는 위약의 한 배치에서 곤충을 발견했으며 이전에는 다른 배치에서 헤어네트가 발견되었습니다. 특히 현재 임상 3상 시험이 진행 중이기 때문에 이는 매우 우려스러운 일입니다. 앨리스 씨, 무슨 일이 일어났는지, 그리고 CCTV 모니터링을 통해 무엇을 발견했는지 좀 더 자세히 알려주실 수 있나요?"
5,Alice Brown,TFS,"Certainly, John. We've reviewed the incidents thoroughly. The batch with insects was identified during our routine quality checks. Our CCTV monitoring showed that the contamination likely occurred during the packaging process, possibly due to an open window near the packaging line. For the hairnet, the footage indicated that a staff member inadvertently dropped it during production. We've since closed the window and are reinforcing our hygiene protocols.","물론이죠, 존. 우리는 사건을 철저히 검토했습니다. 정기적인 품질 점검 중에 곤충이 포함된 배치가 확인되었습니다. CCTV 모니터링 결과, 포장 공정 중 포장 라인 근처의 열린 창문으로 인해 오염이 발생했을 가능성이 있는 것으로 나타났습니다. 헤어네트의 경우 제작 과정에서 스태프가 실수로 떨어뜨린 것으로 드러났습니다. 이후 우리는 창을 닫고 위생 프로토콜을 강화하고 있습니다."
6,David Smith,TFS,"Adding to what Alice said, we've conducted a thorough review of our CCTV footage and have identified the exact moments when these contaminations occurred. For the insects, we saw that they entered through the open window, and for the hairnet, it was a lapse in our personnel's adherence to PPE protocols.","앨리스가 말한 것에 덧붙여, 우리는 CCTV 영상을 철저히 검토하여 이러한 오염이 발생한 정확한 순간을 확인했습니다. 곤충의 경우 열린 창문을 통해 들어오는 것을 확인했고, 헤어네트의 경우 직원이 PPE 프로토콜을 준수하지 않은 것으로 나타났습니다."
7,Sarah Lee,LG Chem,"Thank you, Alice and David. It's good that you've identified the causes. Emma, from a regulatory standpoint, what are the implications of these contamination issues?","고마워요, 앨리스와 데이비드. 원인을 파악하셨다니 다행이네요. Emma, ​​규제 관점에서 볼 때 이러한 오염 문제는 어떤 의미를 갖습니까?"
8,Emma Johnson,TFS,"Any contamination incident, especially involving foreign objects like insects and hairnets, needs to be reported to the regulatory authorities. We must document these incidents meticulously, and depending on the severity, we may need to consider a recall of the affected batches. This could have significant implications for our ongoing clinical trial.","특히 곤충이나 털망과 같은 이물질과 관련된 모든 오염 사고는 규제 당국에 보고해야 합니다. 우리는 이러한 사고를 꼼꼼하게 문서화해야 하며, 심각도에 따라 영향을 받은 배치에 대한 리콜을 고려해야 할 수도 있습니다. 이는 진행 중인 임상 시험에 중요한 영향을 미칠 수 있습니다."
9,John Kim,LG Chem,"That's critical information, Emma. We need to ensure that these issues don't affect our clinical trial timeline. Alice, what corrective actions are you planning to implement to prevent such incidents in the future?","그건 중요한 정보야, 엠마. 우리는 이러한 문제가 임상 시험 일정에 영향을 미치지 않도록 해야 합니다. 앨리스 씨는 앞으로 이런 사고를 예방하기 위해 어떤 시정 조치를 취할 계획인가요?"
10,Alice Brown,TFS,"We are enhancing our facility's pest control measures, ensuring that all windows are secured, and increasing the frequency of our hygiene audits. Additionally, we're conducting retraining sessions for all staff on proper PPE protocols and updating our standard operating procedures based on these incidents.","우리는 시설의 해충 방제 조치를 강화하고 모든 창문을 안전하게 보호하며 위생 감사 빈도를 늘리고 있습니다. 또한, 우리는 적절한 PPE 프로토콜에 대해 모든 직원을 대상으로 재교육 세션을 실시하고 이러한 사고를 기반으로 표준 운영 절차를 업데이트하고 있습니다."
11,Sarah Lee,LG Chem,"That sounds comprehensive, Alice. Let's set a timeline for these corrective actions and schedule follow-up meetings to monitor progress. We need to ensure these measures are effectively implemented to prevent any future issues.","포괄적인 것 같은데요, 앨리스. 이러한 시정 조치에 대한 타임라인을 설정하고 진행 상황을 모니터링하기 위한 후속 회의 일정을 설정해 보겠습니다. 향후 문제를 방지하려면 이러한 조치가 효과적으로 구현되도록 해야 합니다."
12,Alice Brown,TFS,"Agreed, Sarah. We'll provide a detailed timeline by the end of this week and will be ready for a follow-up meeting in two weeks to review our progress.","동의해요, 사라. 이번 주말까지 자세한 일정을 제공할 예정이며 2주 후에 진행 상황을 검토하기 위한 후속 회의를 준비할 것입니다."
13,Sarah Lee,LG Chem,"Excellent. Moving on, let's discuss the current status of our ongoing Phase III clinical trial. John, could you provide an update?","좋습니다. 계속해서 현재 진행 중인 3상 임상시험의 현황에 대해 논의해 보겠습니다. 존, 업데이트를 제공해 주실 수 있나요?"
