Order,Name,Company,English,Korean
1,Dr. Sarah Lee,LG Chem,"Good morning, everyone. Thank you for joining this biweekly conference call. Let's start with a quick roll call. I'm Dr. Sarah Lee, Project Manager at LG Chem.",모두 안녕하십니까. 격주로 열리는 컨퍼런스콜에 참여해 주셔서 감사합니다. 빠른 점호부터 시작하겠습니다. 저는 LG화학의 Project Manager Sarah Lee 박사입니다.
2,Mr. John Kim,LG Chem,"And I'm John Kim, Quality Assurance Specialist at LG Chem.",저는 LG화학 품질보증 전문가 김존입니다.
3,Ms. Emily Clark,TFS,"Hello, I'm Emily Clark, Manufacturing Supervisor at TFS.","안녕하세요, 저는 TFS의 제조 감독관 Emily Clark입니다."
4,Mr. David Wright,TFS,"David Wright here, Quality Control Manager at TFS.",TFS의 품질 관리 관리자인 David Wright입니다.
5,Mr. Michael Brown,TFS,"And I'm Michael Brown, Production Technician at TFS.",저는 TFS의 생산 기술자인 Michael Brown입니다.
6,Dr. Sarah Lee,LG Chem,"Great, thank you all for being here. Let's start with an overview of the current progress of the Phase III clinical trial. John, could you give us a brief update?","좋습니다. 모두들 여기와주셔서 감사합니다. 현재 진행 중인 3상 임상시험의 개요부터 살펴보겠습니다. 존, 간단한 업데이트를 해주실 수 있나요?"
7,Mr. John Kim,LG Chem,"Sure, Sarah. The clinical trial is progressing as planned, and we're on track with our patient enrollment and dosing schedules. However, we need to address some serious quality issues that have recently arisen during the placebo manufacturing process.","물론이죠, 사라. 임상시험은 계획대로 진행되고 있으며, 환자 등록 및 투약 일정도 순조롭게 진행되고 있습니다. 그러나 최근 위약 제조 과정에서 발생한 몇 가지 심각한 품질 문제를 해결해야 합니다."
8,Ms. Emily Clark,TFS,"Yes, let's dive into those issues. During the manufacturing of one batch of placebo tablets, we found a flying ant in the room. This occurred after approximately 40 drums were manufactured. We discarded the four drums produced immediately before the insect was found and then performed a thorough cleaning before resuming production. We have around 100 drums in total for this batch.","예, 해당 문제를 자세히 살펴보겠습니다. 한 배치의 위약 정제를 제조하는 동안 우리는 방에서 날아다니는 개미를 발견했습니다. 이는 약 40개의 드럼이 제조된 후에 발생했습니다. 벌레 발견 직전에 생산된 드럼 4개를 폐기하고, 철저한 청소를 실시한 후 생산을 재개했습니다. 이 배치에는 총 100개의 드럼이 있습니다."
9,Dr. Sarah Lee,LG Chem,"That's concerning. We also need to address the hairnet found in a previous batch before encapsulation. These incidents are very serious and require immediate attention. David, can you share the findings from the CCTV footage?","그게 걱정됩니다. 또한 캡슐화하기 전에 이전 배치에서 발견된 헤어네트를 처리해야 합니다. 이러한 사고는 매우 심각하므로 즉각적인 주의가 필요합니다. 데이빗, CCTV 영상에서 발견한 내용을 공유해주실 수 있나요?"
10,Mr. David Wright,TFS,"Certainly, Sarah. We reviewed the CCTV footage and identified that the insect likely entered through a small gap in the doorway seal. As for the hairnet, it appears it was inadvertently brought in by one of the staff members who didn't follow the proper gowning procedures. Both incidents point to lapses in our contamination control protocols.","물론이지, 사라. CCTV 영상을 검토한 결과 출입구 봉인 부분의 작은 틈을 통해 벌레가 들어왔을 가능성이 있는 것으로 확인되었습니다. 헤어네트의 경우, 적절한 가운 착용 절차를 따르지 않은 직원 중 한 명이 실수로 가져온 것으로 보입니다. 두 사건 모두 우리의 오염 통제 프로토콜이 잘못되었음을 지적합니다."
