Order,Name,Company,English,Korean
1,Dr. Kim,LG Chem,"Good morning, everyone. Thank you for joining us today. Let's start by introducing ourselves. I'm Dr. Kim, the Project Manager from LG Chem.",모두 안녕하십니까. 오늘 함께해주셔서 감사합니다. 우리 자신을 소개하는 것부터 시작하겠습니다. 저는 LG화학의 Project Manager 김박사입니다.
2,Mr. Zhang,Innovent,"Good morning, Dr. Kim. I'm Mr. Zhang, the Project Manager representing Innovent. Pleasure to virtually meet everyone.","안녕하세요, 김 박사님. 저는 Innovent를 대표하는 프로젝트 매니저 Mr. Zhang입니다. 가상으로 모두를 만나서 반가워요."
3,Dr. Kim,LG Chem,"Likewise, Mr. Zhang. Let's go around the virtual table and introduce ourselves briefly.",마찬가지로 장 선생님. 가상 테이블을 한 바퀴 돌면서 간단하게 자기소개를 해보겠습니다.
4,Dr. Kim,LG Chem,"Now, let's dive into the project overview. Dr. Lee, would you like to provide an overview of the drug substance we'll be tech transferring?","이제 프로젝트 개요를 살펴보겠습니다. 이 박사님, 우리가 기술 이전할 약물에 대한 개요를 제공해 주시겠습니까?"
5,Dr. Lee,LG Chem,"Certainly, Dr. Kim. Our team at LG Chem has developed a novel drug substance for the treatment of [mention disease]. It has shown promising results in preclinical studies, and we're eager to move forward with Phase III clinical trials.","물론이죠, 김 박사님. 우리 LG화학팀은 [멘션질환] 치료를 위한 새로운 신약물질을 개발했습니다. 전임상 연구에서 유망한 결과를 보여주었고, 우리는 3상 임상 시험을 진행하기를 열망하고 있습니다."
6,Mr. Zhang,Innovent,"Thank you, Dr. Lee. We're honored to be partnering with LG Chem on this project. Dr. Wang and I are excited to facilitate a smooth tech transfer process.","감사합니다, 이 박사님. 우리는 이 프로젝트에서 LG화학과 협력하게 된 것을 영광으로 생각합니다. Wang 박사와 저는 원활한 기술 이전 과정을 촉진하게 되어 기쁘게 생각합니다."
7,Dr. Kim,LG Chem,"Excellent. Let's discuss roles and responsibilities. Mr. Park, could you outline the regulatory aspects?","좋습니다. 역할과 책임에 대해 논의해 봅시다. 박 선생님, 규제 측면에 대해 간략하게 설명해주실 수 있나요?"
8,Mr. Park,LG Chem,"Absolutely, Dr. Kim. Our team will ensure compliance with regulatory requirements throughout the project. We'll collaborate closely with Innovent to address any regulatory challenges.","물론이죠, 김 박사님. 우리 팀은 프로젝트 전반에 걸쳐 규제 요구 사항을 준수하도록 보장합니다. 우리는 모든 규제 문제를 해결하기 위해 Innovent와 긴밀하게 협력할 것입니다."
9,Mr. Zhang,Innovent,"Thank you, Mr. Park. At Innovent, Dr. Wang and I will oversee the manufacturing process and ensure all specifications are met according to your requirements.","감사합니다, 박 선생님. Innovent에서 Dr. Wang과 저는 제조 공정을 감독하고 귀하의 요구 사항에 따라 모든 사양이 충족되는지 확인합니다."
10,Dr. Kim,LG Chem,"Great. Now, let's talk about the project timeline. Dr. Lee, can you provide an overview?","좋습니다. 이제 프로젝트 타임라인에 대해 이야기해 보겠습니다. 이 박사님, 개요를 알려주실 수 있나요?"
11,Dr. Lee,LG Chem,"Certainly. We aim to complete the tech transfer process within [mention timeframe], allowing us to initiate Phase III clinical trials by [mention date]. Detailed timelines and milestones will be provided for each phase.",물론입니다. [언급기간] 내에 기술이전 절차를 완료하여 [언급일]까지 임상 3상을 개시할 수 있도록 하는 것을 목표로 하고 있습니다. 각 단계별로 자세한 일정과 마일스톤이 제공될 예정입니다.
12,Mr. Zhang,Innovent,"Understood, Dr. Lee. We'll align our manufacturing schedule accordingly to meet your timeline.","알겠습니다, 이 박사님. 귀하의 일정에 맞춰 제조 일정을 조정해 드리겠습니다."
13,Dr. Kim,LG Chem,"Perfect. Lastly, let's discuss our communication plan. We'll designate primary points of contact from each team and schedule regular progress meetings to ensure transparency and alignment.",좋습니다. 마지막으로 우리의 의사소통 계획에 대해 논의해보자. 우리는 투명성과 조정을 보장하기 위해 각 팀의 주요 연락 지점을 지정하고 정기적인 진행 회의 일정을 잡을 것입니다.
14,Dr. Kim,LG Chem,"Thank you, everyone, for your participation today. Let's stay connected and collaborate closely to ensure the success of this project.","여러분, 오늘도 참여해주셔서 감사합니다. 이 프로젝트의 성공을 보장하기 위해 계속 연결하고 긴밀하게 협력합시다."
15,Mr. Zhang,Innovent,"Agreed, Dr. Kim. We're excited to work with LG Chem and are committed to delivering high-quality results. Please don't hesitate to reach out if you have any further questions or concerns.","동의합니다, 김 박사님. 우리는 LG화학과 협력하게 되어 매우 기쁘며, 고품질의 결과를 제공하기 위해 최선을 다하고 있습니다. 추가 질문이나 우려사항이 있으면 언제든지 문의해 주세요."
