Order,Name,Company,English,Korean
1,Dr. Lee,LG Chem,"Good morning, everyone. Welcome to our third biweekly conference call. Before we delve into the updates, I want to express my appreciation for the hard work and dedication each of you has shown in driving this project forward. Now, let's proceed by reviewing the progress and any challenges we've encountered since our last meeting. John, would you like to kick things off with an update from LG Chem's perspective?","모두 안녕하십니까. 격주로 열리는 세 번째 전화 회의에 오신 것을 환영합니다. 업데이트에 대해 자세히 알아보기 전에, 이 프로젝트를 추진하는 데 있어 여러분 각자가 보여준 노고와 헌신에 감사의 말씀을 전하고 싶습니다. 이제 지난 회의 이후 진행 상황과 직면한 문제를 검토하면서 진행해 보겠습니다. 존씨, LG화학의 관점에서 업데이트를 시작해볼까요?"
2,John Kim,LG Chem,"Absolutely, Dr. Lee. Firstly, I want to echo your sentiments and extend my gratitude to the Innovent team for their collaboration thus far. Since our last call, we've been focused on transferring the technology for the drug substance, and while we've made significant strides, we've hit a snag regarding the scalability of the process for larger batches. Our team is actively working on addressing this challenge to ensure seamless production for the Phase III clinical trials.","물론이죠, 이 박사님. 먼저, 귀하의 의견을 반영하고 지금까지 협력해 주신 Innovent 팀에 감사의 말씀을 전하고 싶습니다. 마지막 요청 이후, 우리는 원료의약품에 대한 기술 이전에 집중해 왔으며 상당한 진전을 이루었지만 더 큰 배치에 대한 공정 확장성과 관련하여 난관에 부딪혔습니다. 우리 팀은 3상 임상 시험의 원활한 생산을 보장하기 위해 이 문제를 해결하기 위해 적극적으로 노력하고 있습니다."
3,Dr. Wang,Innovent,"Thank you for the update, John. Emily, could you provide some insights into the specific challenges faced on Innovent's end?","업데이트해주셔서 감사합니다, 존. Emily, Innovent가 직면한 구체적인 과제에 대한 통찰력을 제공해 주실 수 있나요?"
4,Emily Chen,Innovent,"Certainly, Dr. Wang. On our end, we've been diligently working on implementing the transferred technology, but we've encountered difficulties in optimizing the process parameters for larger-scale production. Additionally, we've faced some unexpected equipment issues that have hindered our progress. However, we remain committed to overcoming these obstacles and delivering high-quality drug substance for the trials.","물론이죠, 왕 박사님. 우리는 이전된 기술을 구현하기 위해 부지런히 노력해 왔지만 대규모 생산을 위해 프로세스 매개변수를 최적화하는 데 어려움을 겪었습니다. 게다가 우리는 우리의 발전을 방해하는 몇 가지 예상치 못한 장비 문제에 직면했습니다. 그러나 우리는 이러한 장애물을 극복하고 임상시험을 위한 고품질 약물 물질을 제공하기 위해 최선을 다하고 있습니다."
5,Dr. Lee,LG Chem,"I appreciate your transparency, Emily. Tony, from the quality assurance perspective, what are your observations regarding the challenges mentioned?","당신의 투명성에 감사드립니다, 에밀리. Tony, 품질 보증 관점에서 언급된 문제에 관해 어떻게 생각하시나요?"
6,Tony Wang,Innovent,"Thank you, Dr. Lee. As Emily mentioned, we've noticed deviations in the expected quality attributes in some batches, which could be linked to the process variations. Our team is conducting thorough investigations to pinpoint the root causes and implement corrective actions to ensure that the quality standards are met consistently throughout the manufacturing process.","감사합니다, 이 박사님. Emily가 언급했듯이 우리는 일부 배치에서 예상되는 품질 특성에 편차가 있음을 발견했으며 이는 프로세스 변화와 연관될 수 있습니다. 우리 팀은 철저한 조사를 통해 근본 원인을 찾아내고 시정 조치를 취하여 제조 공정 전반에 걸쳐 품질 표준이 일관되게 충족되도록 하고 있습니다."
7,Dr. Lee,LG Chem,"Understood. It's imperative that we address these challenges collaboratively and swiftly. Dr. Wang, how do you propose we proceed to overcome these obstacles and maintain the project timeline?","이해했다. 이러한 문제를 협력적이고 신속하게 해결하는 것이 중요합니다. Wang 박사님, 이러한 장애물을 극복하고 프로젝트 일정을 유지하기 위해 어떻게 진행할 것을 제안하시나요?"
8,Dr. Wang,Innovent,"I believe we need to intensify our cross-functional collaboration and communication to tackle these technical challenges effectively. Emily and Tony's teams will continue to work closely with LG Chem to troubleshoot the issues and implement necessary adjustments to the manufacturing process. Additionally, scheduling regular technical meetings and working sessions between our teams will facilitate knowledge sharing and problem-solving.",저는 이러한 기술적 과제를 효과적으로 해결하기 위해 부서 간 협업과 커뮤니케이션을 강화해야 한다고 생각합니다. Emily와 Tony의 팀은 문제를 해결하고 제조 공정에 필요한 조정을 구현하기 위해 LG Chem과 계속 긴밀하게 협력할 것입니다. 또한 정기적인 기술 회의와 팀 간의 작업 세션을 예약하면 지식 공유와 문제 해결이 촉진됩니다.
9,Dr. Lee,LG Chem,"Agreed. John, please coordinate with Innovent to arrange these additional meetings and ensure that we have a robust plan in place moving forward.","동의했습니다. John 씨, Innovent와 협력하여 이러한 추가 회의를 준비하고 향후 강력한 계획을 마련할 수 있도록 해주시기 바랍니다."
10,John Kim,LG Chem,"Absolutely, Dr. Lee. I'll liaise with Emily to set up the meetings and ensure that all relevant stakeholders are involved.","물론이죠, 이 박사님. 저는 Emily와 연락하여 회의를 준비하고 모든 관련 이해관계자가 참여할 수 있도록 하겠습니다."
11,Dr. Lee,LG Chem,"Excellent. Before we conclude, does anyone have any additional points to discuss or questions to raise?",좋습니다. 결론을 내리기 전에 추가로 논의할 점이나 제기할 질문이 있는 분 계십니까?
12,Dr. Lee,LG Chem,"Alright then, let's reconvene in two weeks for our next update. Once again, thank you all for your commitment and hard work. Let's continue to collaborate closely to overcome these challenges and achieve our objectives. Have a productive day, everyone.",좋습니다. 그러면 다음 업데이트를 위해 2주 뒤에 다시 모이겠습니다. 다시 한번 여러분의 헌신과 노고에 감사드립니다. 이러한 과제를 극복하고 목표를 달성하기 위해 계속해서 긴밀히 협력합시다. 모두들 생산적인 하루 보내세요.
