Order,Name,Company,English,Korean
1,David Kim,LG Chem,"Good morning, everyone. Thank you for joining today's call. Let's start with a quick update on the progress since our last meeting. Emily, could you please provide the latest status from our end?","모두 안녕하십니까. 오늘 통화에 참여해 주셔서 감사합니다. 마지막 회의 이후 진행 상황에 대한 간단한 업데이트부터 시작하겠습니다. Emily, 우리 쪽의 최신 상태를 알려주실 수 있나요?"
2,Emily Park,LG Chem,"Of course, David. Since our last call, we've encountered some challenges with the stability testing of the drug substance. We've been working closely with our analytical team to address the issue, but it's still ongoing. However, all other aspects of the tech transfer process are proceeding as planned.","물론이지, 데이빗. 마지막 통화 이후 우리는 원료의약품의 안정성 테스트와 관련하여 몇 가지 어려움에 직면했습니다. 우리는 이 문제를 해결하기 위해 분석팀과 긴밀히 협력해 왔지만 여전히 진행 중입니다. 그러나 기술 이전 프로세스의 다른 모든 측면은 계획대로 진행되고 있습니다."
3,Michael Chen,Innovent,"Thank you for the update, Emily. Sarah, Jason, have there been any issues on Innovent's side that we should be aware of?","업데이트해주셔서 감사합니다, Emily. Sarah, Jason. Innovent 측에서 우리가 알아야 할 문제가 있었나요?"
4,Sarah Li,Innovent,"Yes, there have been a couple of issues on our end as well. Firstly, we've experienced some delays in receiving the necessary equipment for the manufacturing process. We're in talks with the suppliers to expedite delivery, but it's causing a slight setback to our timeline.","네, 저희 측에도 몇 가지 문제가 있었습니다. 첫째, 제조 공정에 필요한 장비를 받는 데 약간의 지연이 발생했습니다. 배송을 신속하게 처리하기 위해 공급업체와 협의 중이지만 이로 인해 일정이 약간 지연되고 있습니다."
5,Jason Wu,Innovent,"Additionally, we've identified a discrepancy in the documentation provided by LG Chem regarding the critical process parameters. We need clarification to ensure that we're aligning our processes correctly.",또한 중요한 프로세스 매개변수와 관련하여 LG Chem에서 제공한 문서에서 불일치를 확인했습니다. 프로세스를 올바르게 조정하고 있는지 확인하려면 설명이 필요합니다.
6,David Kim,LG Chem,"Understood. Emily, could you coordinate with our team to address the documentation concerns raised by Innovent?","이해했습니다. Emily, Innovent에서 제기한 문서 문제를 해결하기 위해 우리 팀과 협력할 수 있습니까?"
7,Emily Park,LG Chem,"Of course, David. I'll ensure that the necessary clarifications are provided promptly.","물론이지, 데이빗. 필요한 설명이 즉시 제공되도록 하겠습니다."
8,Michael Chen,Innovent,"Thank you, Emily. On our end, we'll continue to work on resolving the equipment delivery issues. Sarah, any updates on that front?","고마워요, 에밀리. 저희는 장비 배송 문제를 해결하기 위해 계속 노력할 것입니다. 사라, 그 부분에 대한 업데이트는 없나요?"
9,Sarah Li,Innovent,We're actively engaging with the suppliers and exploring alternative solutions to mitigate the delays. We're hopeful that we'll have a resolution soon.,우리는 공급업체와 적극적으로 협력하고 지연을 완화하기 위한 대체 솔루션을 모색하고 있습니다. 우리는 곧 해결책을 찾을 수 있기를 바랍니다.
10,Jason Wu,Innovent,"In the meantime, we'll review the existing documentation again to see if there are any workarounds we can implement while we await clarification from LG Chem.",그 동안 기존 문서를 다시 검토하여 LG Chem의 명확한 설명을 기다리는 동안 구현할 수 있는 해결 방법이 있는지 알아보겠습니다.
11,David Kim,LG Chem,"That sounds like a proactive approach, Jason. Let's keep each other updated on our progress, and feel free to reach out if any further assistance is needed. Our goal is to ensure a smooth transition for the Phase III clinical trials.","그건 적극적인 접근 방식인 것 같은데요, 제이슨. 우리의 진행 상황을 서로 계속해서 업데이트하고, 추가 지원이 필요하면 언제든지 연락하세요. 우리의 목표는 3상 임상시험의 원활한 전환을 보장하는 것입니다."
12,Emily Park,LG Chem,"Agreed. Thank you, everyone, for your collaboration and dedication to this project. We'll overcome these challenges together.",동의했습니다. 이 프로젝트에 협력하고 헌신해 주신 모든 분들께 감사드립니다. 우리는 이러한 어려움을 함께 극복할 것입니다.
