Order,Name,English,Korean
1,Jaeyeon Jung,"Good morning, everyone. Thank you for joining today's call. I'm Jaeyeon Jung, the Project Manager from LG Chem. With me is Minseo Kim, our Technical Lead. ","여러분, 좋은 아침입니다. 오늘 전화 주셔서 감사합니다. 저는 LG화학 프로젝트 매니저 정재연입니다. 저는 김민서 테크니컬 리더입니다."
2,Alex Thompson,"Good morning, Jaeyeon and Minseo. I'm Alex Thompson, the Project Manager from Innovent. Joining me are Emma Williams, our Senior Scientist, and David Lee, our Operations Manager.","안녕하세요, 재현 씨와 민서 씨. 저는 이노벤트의 프로젝트 매니저 알렉스 톰슨입니다. 수석 과학자 엠마 윌리엄스와 운영 매니저 데이비드 리도 함께 합니다."
3,Jaeyeon Jung,"Minseo, could you please update everyone on the new information we've uploaded to the data room?","민서 씨, 저희가 자료실에 새로 올린 정보를 모두 업데이트 해주실 수 있나요?"
4,Minseo Kim,Sure. We've added the latest process development data and some preliminary quality metrics. You can find detailed reports in the 'Process Data' folder. This should provide a clearer picture of our current status and any adjustments needed for Phase III preparations.,물론입니다. 최신 프로세스 개발 데이터와 몇 가지 예비 품질 메트릭을 추가했습니다. 자세한 보고서는 '프로세스 데이터' 폴더에서 확인할 수 있습니다. 이를 통해 현재 상태와 3단계 준비에 필요한 조정 사항을 보다 명확하게 파악할 수 있습니다.
5,Jaeyeon Jung,"Thank you, Minseo. Alex, we understand that there's been a delay in selecting a CDMO. Could you share more details on this?","감사합니다. 민서 씨. 알렉스 씨, CDMO 선정이 늦어진 것으로 알고 있습니다. 이에 대한 자세한 내용을 공유해 주시겠습니까?"
6,Alex Thompson,"Certainly, Jaeyeon. We're currently evaluating several candidates, but we've encountered some logistical and contractual issues that have slowed down the process. Emma and David have been closely involved in this. Emma, would you like to elaborate?","물론이죠, 재연 씨. 저희는 현재 여러 후보자들을 평가하고 있지만, 물류 및 계약상의 문제로 인해 진행이 늦어지고 있습니다. 엠마와 데이비드는 이 일에 밀접하게 관여해 왔습니다. 엠마, 자세히 설명해 주시겠습니까?"
7,Emma Williams,"Yes, the main challenge has been aligning the capabilities of the CDMOs with our specific needs. We want to ensure we choose a partner who can meet our quality and timeline requirements without compromising on any aspect.","네, 주요 과제는 CDMO의 기능을 우리의 특정 요구 사항과 일치시키는 것입니다. 우리는 어떤 측면에서도 타협하지 않고 품질 및 일정 요구 사항을 충족할 수 있는 파트너를 선택하기를 원합니다."
8,Jaeyeon Jung,"I appreciate the update. Our main concern is understanding how this delay might affect the overall project timeline. David, could you provide some insights on this?","업데이트 감사합니다. 저희의 주요 관심사는 이 지연이 전체 프로젝트 일정에 어떤 영향을 미칠 수 있는지 파악하는 것입니다. 데이비드, 이에 대한 통찰력을 제공해 주시겠습니까?"
9,David Lee,"Certainly. If the selection process extends beyond the next two weeks, we might see a ripple effect on our Phase III trial start date. The process development work is critical and any delays here will push back the manufacturing and subsequent phases.","물론입니다. 선정 과정이 앞으로 2주 이상 연장될 경우, 3단계 시험 시작일에 파급 효과를 볼 수 있습니다. 공정 개발 작업이 매우 중요하며, 여기서 지연되면 제조 및 후속 단계가 지연될 수 있습니다."
10,Minseo Kim,"Given this situation, do you have an estimate of how long the delay might be if we can't expedite the CDMO selection?",이 상황에서 CDMO 선택을 신속하게 진행할 수 없을 경우 지연 시간이 얼마나 걸릴지 예상할 수 있습니까?
11,Alex Thompson,"If things go as they are, we're looking at a potential delay of up to a month. However, we are working on speeding up the decision-making process by prioritizing key criteria and fast-tracking the final discussions.",상황이 이대로 간다면 최대 한 달 정도 지연될 가능성을 염두에 두고 있습니다. 하지만 핵심 기준을 우선시하고 최종 논의를 빠르게 추적해 의사결정 과정에 속도를 내기 위해 노력하고 있습니다.
12,Jaeyeon Jung,"Thank you for the detailed insights. To mitigate these delays, can we agree on a timeline for the final selection? Perhaps we can aim for a decision within the next two weeks and outline any immediate steps to facilitate this?",자세한 통찰력에 감사드립니다. 이러한 지연을 완화하기 위해 최종 선정 일정에 동의할 수 있을까요? 아마도 우리는 향후 2주 이내에 결정을 목표로 하고 이를 용이하게 하기 위한 즉각적인 조치의 개요를 설명할 수 있을까요?
13,David Lee,That sounds reasonable. We can schedule more frequent internal reviews and ensure that all necessary data is ready for quick decision-making.,합리적인 의견입니다. 내부 검토를 더 자주 진행하고 필요한 모든 데이터가 신속한 의사 결정을 위해 준비되도록 할 수 있습니다.
14,Emma Williams,We'll also prepare a contingency plan to address any unforeseen issues that might arise during this period.,또한 이 기간 동안 발생할 수 있는 예상치 못한 문제를 해결하기 위해 비상 계획을 준비할 것입니다.
15,Jaeyeon Jung,Excellent. Does anyone have any questions or additional points to discuss?,훌륭합니다. 누구든지 질문이나 추가 사항이 있습니까?
16,Minseo Kim,No additional points from me.,추가 사항 없습니다.
17,Alex Thompson,None from us either.,저희도 없습니다.
18,Jaeyeon Jung,Great. Let's aim to reconvene in two weeks with hopefully a selected CDMO. Thank you all for your time and contributions. Have a good day!,좋습니다. 2주 후에 선택된 CDMO와 함께 다시 만나는 것을 목표로 합시다. 시간과 기여에 감사드립니다. 좋은 하루 보내세요!
19,All,Thank you. Goodbye.,감사합니다. 안녕히 계세요.
